Nr,TID,PID,x [0],y [0],t [sec],I [val],Len [0],D2S [0],D2R [0],D2P [0],v [0/sec],? [deg],?? [deg]
196,98,2,160.586,45.023,0,96.1,1.239,1.239,NA,1.239,NA,86.348,NA
197,99,1,161.639,43.945,0,72.8,0,0,NA,NA,NA,NA,NA
198,99,2,161.744,44.997,0,93.1,1.057,1.057,NA,1.057,NA,84.289,NA
199,100,1,162.744,44.365,0,71.7,0,0,NA,NA,NA,NA,NA
200,100,2,162.796,45.47,0,99.9,1.106,1.106,NA,1.106,NA,87.274,NA
201,101,1,163.875,44.208,0,82.1,0,0,NA,NA,NA,NA,NA
202,101,2,163.848,45.628,0,77.9,1.421,1.421,NA,1.421,NA,91.061,NA
203,102,1,164.585,45.418,0,81.1,0,0,NA,NA,NA,NA,NA
204,102,2,164.664,46.601,0,95.9,1.186,1.186,NA,1.186,NA,86.186,NA
205,103,1,165.374,46.444,0,96.9,0,0,NA,NA,NA,NA,NA
206,103,2,165.558,47.654,0,99.9,1.224,1.224,NA,1.224,NA,81.347,NA
207,104,1,166.532,47.022,0,91.1,0,0,NA,NA,NA,NA,NA
208,104,2,166.611,48.075,0,80.1,1.055,1.055,NA,1.055,NA,85.711,NA
209,105,1,148.775,47.549,0,96.6,0,0,NA,NA,NA,NA,NA
210,105,2,148.906,48.496,0,107,0.956,0.956,NA,0.956,NA,82.093,NA
211,106,1,151.116,47.706,0,100.6,0,0,NA,NA,NA,NA,NA
212,106,2,151.221,48.916,0,111.2,1.215,1.215,NA,1.215,NA,85.03,NA
213,107,1,153.379,47.996,0,106.4,0,0,NA,NA,NA,NA,NA
214,107,2,153.563,49.127,0,115.9,1.146,1.146,NA,1.146,NA,80.754,NA
215,108,3,156.193,49.311,0,113.9,0,0,NA,NA,NA,NA,NA
216,109,1,155.009,48.101,0,110.9,0,0,NA,NA,NA,NA,NA
217,109,2,155.194,49.153,0,110.3,1.068,1.068,NA,1.068,NA,80.074,NA
218,110,1,155.746,49.206,0,109.9,0,0,NA,NA,NA,NA,NA
219,110,2,156.377,50.337,0,103.3,1.295,1.295,NA,1.295,NA,60.832,NA
220,111,1,157.43,48.048,0,112.7,0,0,NA,NA,NA,NA,NA
221,111,2,157.614,49.206,0,110.5,1.172,1.172,NA,1.172,NA,80.961,NA
222,112,1,159.35,48.232,0,93.7,0,0,NA,NA,NA,NA,NA
223,112,2,159.482,49.364,0,109.7,1.139,1.139,NA,1.139,NA,83.367,NA
224,113,1,161.323,48.364,0,78.6,0,0,NA,NA,NA,NA,NA
225,113,2,161.455,48.838,0,65.8,0.491,0.491,NA,0.491,NA,74.476,NA
226,114,1,163.164,48.39,0,89.8,0,0,NA,NA,NA,NA,NA
227,114,2,163.296,48.943,0,67.8,0.568,0.568,NA,0.568,NA,76.608,NA
228,115,1,161.297,49.048,0,98.4,0,0,NA,NA,NA,NA,NA
229,115,2,161.349,49.785,0,111.1,0.738,0.738,NA,0.738,NA,85.914,NA
230,116,1,163.27,49.258,0,96.3,0,0,NA,NA,NA,NA,NA
231,116,2,163.375,50.074,0,110.6,0.822,0.822,NA,0.822,NA,82.648,NA
232,117,1,168.531,46.444,0,54.7,0,0,NA,NA,NA,NA,NA
233,117,2,168.61,47.733,0,31.6,1.291,1.291,NA,1.291,NA,86.496,NA
234,118,1,170.399,47.706,0,91.1,0,0,NA,NA,NA,NA,NA
235,118,2,170.583,48.811,0,78.9,1.12,1.12,NA,1.12,NA,80.538,NA
236,119,1,170.215,49.337,0,100.1,0,0,NA,NA,NA,NA,NA
237,119,2,170.188,50.232,0,79.7,0.895,0.895,NA,0.895,NA,91.685,NA
238,120,1,166.689,48.338,0,86.5,0,0,NA,NA,NA,NA,NA
239,120,2,166.821,49.337,0,85.7,1.008,1.008,NA,1.008,NA,82.504,NA
240,121,1,171.898,49.942,0,122.8,0,0,NA,NA,NA,NA,NA
241,121,2,172.03,51.021,0,102.2,1.087,1.087,NA,1.087,NA,83.047,NA
242,122,1,169.741,46.917,0,68.7,0,0,NA,NA,NA,NA,NA
243,122,2,169.741,47.943,0,72.9,1.026,1.026,NA,1.026,NA,90,NA
244,123,1,172.266,48.154,0,72.1,0,0,NA,NA,NA,NA,NA
245,123,2,172.451,49.337,0,73.5,1.198,1.198,NA,1.198,NA,81.158,NA
246,124,1,173.976,48.548,0,96.4,0,0,NA,NA,NA,NA,NA
247,124,2,174.029,50.074,0,72.3,1.527,1.527,NA,1.527,NA,88.025,NA
248,125,1,175.449,49.285,0,121.7,0,0,NA,NA,NA,NA,NA
249,125,2,175.476,50.1,0,74.7,0.816,0.816,NA,0.816,NA,88.152,NA
250,126,1,176.554,50.021,0,107.5,0,0,NA,NA,NA,NA,NA
251,126,2,176.554,50.916,0,51.1,0.894,0.894,NA,0.894,NA,90,NA
252,127,1,176.475,48.574,0,82.7,0,0,NA,NA,NA,NA,NA
253,127,2,176.475,49.206,0,58.4,0.631,0.631,NA,0.631,NA,90,NA
254,128,1,174.923,47.969,0,87.7,0,0,NA,NA,NA,NA,NA
255,128,2,174.923,48.706,0,66.4,0.737,0.737,NA,0.737,NA,90,NA
256,129,1,173.845,47.496,0,87.4,0,0,NA,NA,NA,NA,NA
257,129,2,173.924,48.338,0,69.5,0.845,0.845,NA,0.845,NA,84.644,NA
258,130,1,171.267,46.444,0,87.1,0,0,NA,NA,NA,NA,NA
259,130,2,171.319,47.312,0,32.7,0.87,0.87,NA,0.87,NA,86.532,NA
260,131,1,169.741,45.654,0,68.7,0,0,NA,NA,NA,NA,NA
261,131,2,169.688,46.496,0,29.4,0.843,0.843,NA,0.843,NA,93.576,NA
262,132,1,166.847,43.655,0,78.4,0,0,NA,NA,NA,NA,NA
263,132,2,166.926,44.55,0,63.6,0.898,0.898,NA,0.898,NA,84.958,NA
264,133,1,178.291,50.784,0,117.3,0,0,NA,NA,NA,NA,NA
265,133,2,178.396,51.626,0,91.4,0.848,0.848,NA,0.848,NA,82.875,NA
266,134,1,180.211,49.916,0,98.1,0,0,NA,NA,NA,NA,NA
267,134,2,180.211,50.784,0,95.5,0.868,0.868,NA,0.868,NA,90,NA
268,135,1,173.976,50.784,0,103.8,0,0,NA,NA,NA,NA,NA
269,135,2,174.082,51.6,0,100.1,0.822,0.822,NA,0.822,NA,82.648,NA
270,136,1,178.79,57.098,0,84.7,0,0,NA,NA,NA,NA,NA
271,136,2,178.817,57.939,0,80.9,0.842,0.842,NA,0.842,NA,88.21,NA
272,137,1,180.947,57.229,0,85.9,0,0,NA,NA,NA,NA,NA
273,137,2,181.053,58.045,0,68.3,0.822,0.822,NA,0.822,NA,82.648,NA
274,138,1,182.657,57.624,0,95.4,0,0,NA,NA,NA,NA,NA
275,138,2,182.736,58.176,0,64.7,0.558,0.558,NA,0.558,NA,81.87,NA
276,139,1,156.167,59.518,0,101.6,0,0,NA,NA,NA,NA,NA
277,139,2,156.325,60.623,0,79.9,1.116,1.116,NA,1.116,NA,81.87,NA
278,140,1,158.271,60.57,0,79.1,0,0,NA,NA,NA,NA,NA
279,140,2,157.903,62.043,0,59.9,1.518,1.518,NA,1.518,NA,104.036,NA
280,141,1,157.798,62.306,0,65.7,0,0,NA,NA,NA,NA,NA
281,141,2,157.798,63.516,0,69.3,1.21,1.21,NA,1.21,NA,90,NA
