Nr,TID,PID,x [0],y [0],t [sec],I [val],Len [0],D2S [0],D2R [0],D2P [0],v [0/sec],? [deg],?? [deg]
243,122,2,93.32,58.834,0,91.9,0.979,0.979,NA,0.979,NA,106.26,NA
244,123,1,94.103,55.428,0,101.6,0,0,NA,NA,NA,NA,NA
245,123,2,93.907,56.446,0,94.6,1.036,1.036,NA,1.036,NA,100.886,NA
246,124,1,96.765,49.322,0,109.8,0,0,NA,NA,NA,NA,NA
247,124,2,96.608,50.535,0,110.5,1.224,1.224,NA,1.224,NA,97.352,NA
248,125,1,106.003,57.934,0,75.3,0,0,NA,NA,NA,NA,NA
249,125,2,105.846,59.265,0,82.4,1.34,1.34,NA,1.34,NA,96.71,NA
250,126,1,102.245,49.635,0,115.6,0,0,NA,NA,NA,NA,NA
251,126,2,102.167,50.535,0,105.8,0.904,0.904,NA,0.904,NA,94.97,NA
252,127,1,108.352,50.066,0,117.6,0,0,NA,NA,NA,NA,NA
253,127,2,108.312,50.888,0,110.8,0.823,0.823,NA,0.823,NA,92.726,NA
254,128,1,88.114,44.585,0,120.4,0,0,NA,NA,NA,NA,NA
255,128,2,87.879,45.564,0,115.2,1.006,1.006,NA,1.006,NA,103.496,NA
256,129,1,152.128,61.365,0,55.6,0,0,NA,NA,NA,NA,NA
257,129,2,152.128,62.774,0,45.3,1.409,1.409,NA,1.409,NA,90,NA
258,130,1,145.291,61.261,0,59.9,0,0,NA,NA,NA,NA,NA
259,130,2,145.343,62.722,0,57.5,1.462,1.462,NA,1.462,NA,87.955,NA
260,131,1,140.072,59.643,0,81.6,0,0,NA,NA,NA,NA,NA
261,131,2,140.124,61.365,0,78.7,1.723,1.723,NA,1.723,NA,88.264,NA
262,132,1,157.765,60.217,0,79.3,0,0,NA,NA,NA,NA,NA
263,132,2,157.817,61.157,0,66.3,0.941,0.941,NA,0.941,NA,86.82,NA
264,133,1,155.468,60.008,0,68.9,0,0,NA,NA,NA,NA,NA
265,133,2,156.356,61.313,0,44.9,1.578,1.578,NA,1.578,NA,55.784,NA
266,134,1,158.495,62.461,0,72.2,0,0,NA,NA,NA,NA,NA
267,134,2,159.591,63.714,0,76.8,1.664,1.664,NA,1.664,NA,48.814,NA
268,135,1,154.477,61.574,0,49.2,0,0,NA,NA,NA,NA,NA
269,135,2,154.633,63.088,0,44.1,1.522,1.522,NA,1.522,NA,84.094,NA
270,136,1,138.297,62.931,0,65.4,0,0,NA,NA,NA,NA,NA
271,136,2,139.341,64.445,0,76.3,1.839,1.839,NA,1.839,NA,55.408,NA
272,137,1,132.451,65.019,0,67.6,0,0,NA,NA,NA,NA,NA
273,137,2,132.869,66.637,0,64.7,1.671,1.671,NA,1.671,NA,75.53,NA
274,138,1,128.694,64.027,0,63.9,0,0,NA,NA,NA,NA,NA
275,138,2,128.902,65.541,0,82,1.528,1.528,NA,1.528,NA,82.147,NA
276,139,1,125.614,65.436,0,78.8,0,0,NA,NA,NA,NA,NA
277,139,2,125.927,66.741,0,80.2,1.342,1.342,NA,1.342,NA,76.504,NA
278,140,1,86.679,48.917,0,120.4,0,0,NA,NA,NA,NA,NA
279,140,2,86.731,49.7,0,110.4,0.785,0.785,NA,0.785,NA,86.186,NA
280,141,1,90.593,49.074,0,115.4,0,0,NA,NA,NA,NA,NA
281,141,2,90.697,50.013,0,111.4,0.945,0.945,NA,0.945,NA,83.66,NA
282,142,1,95.186,49.544,0,107.8,0,0,NA,NA,NA,NA,NA
283,142,2,94.977,50.379,0,103.7,0.861,0.861,NA,0.861,NA,104.036,NA
284,143,1,70.238,54.659,0,78.9,0,0,NA,NA,NA,NA,NA
285,143,2,70.186,55.755,0,63.8,1.097,1.097,NA,1.097,NA,92.726,NA
286,144,1,60.582,54.137,0,79.3,0,0,NA,NA,NA,NA,NA
287,144,2,60.478,53.197,0,69.9,0.945,0.945,NA,0.945,NA,-96.34,NA
288,145,1,66.48,54.502,0,69.9,0,0,NA,NA,NA,NA,NA
289,145,2,65.384,54.345,0,69.1,1.107,1.107,NA,1.107,NA,-171.87,NA
290,146,1,56.564,54.711,0,78.3,0,0,NA,NA,NA,NA,NA
291,146,2,55.676,54.763,0,69.9,0.889,0.889,NA,0.889,NA,176.634,NA
292,147,1,67.263,57.999,0,78.5,0,0,NA,NA,NA,NA,NA
293,147,2,66.845,59.043,0,77.9,1.124,1.124,NA,1.124,NA,111.801,NA
294,148,1,65.28,57.686,0,75.2,0,0,NA,NA,NA,NA,NA
295,148,2,65.071,58.625,0,87.3,0.962,0.962,NA,0.962,NA,102.529,NA
296,149,1,64.81,54.763,0,74.5,0,0,NA,NA,NA,NA,NA
297,149,2,64.653,55.755,0,53.3,1.004,1.004,NA,1.004,NA,98.973,NA
298,150,1,78.276,46.777,0,110.7,0,0,NA,NA,NA,NA,NA
299,150,2,78.171,47.613,0,114.4,0.842,0.842,NA,0.842,NA,97.125,NA
300,151,1,82.451,46.882,0,116.1,0,0,NA,NA,NA,NA,NA
301,151,2,82.399,48.291,0,121.2,1.41,1.41,NA,1.41,NA,92.121,NA
302,152,1,73.213,46.36,0,108.2,0,0,NA,NA,NA,NA,NA
303,152,2,73.161,47.717,0,113.4,1.358,1.358,NA,1.358,NA,92.203,NA
304,153,1,106.825,38.27,0,83.6,0,0,NA,NA,NA,NA,NA
305,153,2,106.981,39.21,0,53.4,0.952,0.952,NA,0.952,NA,80.538,NA
306,154,1,112.201,38.583,0,77.4,0,0,NA,NA,NA,NA,NA
307,154,2,112.149,39.471,0,51.2,0.889,0.889,NA,0.889,NA,93.366,NA
308,155,1,116.481,39.001,0,63,0,0,NA,NA,NA,NA,NA
309,155,2,116.376,40.306,0,54,1.309,1.309,NA,1.309,NA,94.574,NA
310,156,1,118.986,38.949,0,80,0,0,NA,NA,NA,NA,NA
311,156,2,118.986,40.619,0,58,1.67,1.67,NA,1.67,NA,90,NA
312,157,1,159.709,44.664,0,98.1,0,0,NA,NA,NA,NA,NA
313,157,2,159.748,45.799,0,118.7,1.136,1.136,NA,1.136,NA,88.025,NA
314,158,1,162.41,42.002,0,67.7,0,0,NA,NA,NA,NA,NA
315,158,2,162.488,42.98,0,40.7,0.982,0.982,NA,0.982,NA,85.426,NA
